"Net Profit: All","Net Profit %: All","Net Profit: Long","Net Profit %: Long","Net Profit: Short","Net Profit %: Short","Gross Profit: All","Gross Profit %: All","Gross Profit: Long","Gross Profit %: Long","Gross Profit: Short","Gross Profit %: Short","Gross Loss: All","Gross Loss %: All","Gross Loss: Long","Gross Loss %: Long","Gross Loss: Short","Gross Loss %: Short","Max Run-up","Max Run-up %","Max Drawdown","Max Drawdown %","Buy & Hold Return","Buy & Hold Return %","Sharpe Ratio","Sortino Ratio","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL","Open PL %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade %: All","Avg Trade: Long","Avg Trade %: Long","Avg Trade: Short","Avg Winning Trade: All","Avg Winning Trade %: All","Avg Winning Trade: Long","Avg Winning Trade %: Long","Avg Winning Trade: Short","Avg Losing Trade: All","Avg Losing Trade %: All","Avg Losing Trade: Long","Avg Losing Trade %: Long","Avg Losing Trade: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade %: All","Largest Winning Trade: Long","Largest Winning Trade %: Long","Largest Winning Trade: Short","Largest Losing Trade: All","Largest Losing Trade %: All","Largest Losing Trade: Long","Largest Losing Trade %: Long","Largest Losing Trade: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","__SMA #1","__SMA #2","__SMA #3","__Stop Loss %","__OverBought","__OverSold","__Volume MA","__Num dev","__Source","comment"
82685.3,275.62,82685.3,275.62,0,0,147186,490.62,147186,490.62,0,0,64500.7,215,64500.7,215,0,0,89299.1,77.46,10810.95,21.32,482951.5,1609.84,0.087,0.203,2.282,2.282,"N/A",36,36,0,0,0,0,0,0,94,94,0,0,0,0,44,44,0,49,49,0,46.81,46.81,"N/A",879.63,2.91,879.63,2.91,"N/A",3345.14,11.04,3345.14,11.04,"N/A",1316.34,4.33,1316.34,4.33,"N/A",2.541,2.541,"N/A",19583.8,63.29,19583.8,63.29,"N/A",5277.5,17.61,5277.5,17.61,"N/A",34,34,0,50,50,0,20,20,0,0,0,0,46,50,130,0.04,123,50,4,1.9,"close","All parameters are changed randomly"
128492.8,428.31,128492.8,428.31,0,0,176303.45,587.68,176303.45,587.68,0,0,47810.65,159.37,47810.65,159.37,0,0,140863.75,85.19,12743.95,32.32,500391,1667.97,0.083,0.36,3.688,3.688,"N/A",35,35,0,3128.4,1.97,0,0,0,36,36,0,1,1,0,16,16,0,20,20,0,44.44,44.44,"N/A",3569.24,12.14,3569.24,12.14,"N/A",11018.97,37.2,11018.97,37.2,"N/A",2390.53,7.9,2390.53,7.9,"N/A",4.609,4.609,"N/A",30627,104.42,30627,104.42,"N/A",5398.4,18.18,5398.4,18.18,"N/A",150,150,0,230,230,0,86,86,0,0,0,0,26,66,220,0.08,140,55,15,2.7,"close","All parameters are changed randomly"
151584.8,505.28,151584.8,505.28,0,0,196850,656.17,196850,656.17,0,0,45265.2,150.88,45265.2,150.88,0,0,154081.2,83.7,14406.15,19.92,500439,1668.13,0.113,0.49,4.349,4.349,"N/A",37,37,0,0,0,0,0,0,112,112,0,0,0,0,40,40,0,68,68,0,35.71,35.71,"N/A",1353.44,4.61,1353.44,4.61,"N/A",4921.25,16.68,4921.25,16.68,"N/A",665.66,2.22,665.66,2.22,"N/A",7.393,7.393,"N/A",42510,157.25,42510,157.25,"N/A",6140.7,20.01,6140.7,20.01,"N/A",38,38,0,76,76,0,18,18,0,0,0,0,18,98,310,0.01,134,45,5,2,"close","All parameters are changed randomly"
75768.5,252.56,75768.5,252.56,0,0,136457.5,454.86,136457.5,454.86,0,0,60689,202.3,60689,202.3,0,0,80106.8,72.75,13827.45,29.2,500439,1668.13,0.072,0.188,2.248,2.248,"N/A",36,36,0,27.6,0.03,0,0,0,101,101,0,1,1,0,48,48,0,40,40,0,47.52,47.52,"N/A",750.18,2.58,750.18,2.58,"N/A",2842.86,9.63,2842.86,9.63,"N/A",1517.23,5.06,1517.23,5.06,"N/A",1.874,1.874,"N/A",29131.2,107.76,29131.2,107.76,"N/A",3680.1,11.87,3680.1,11.87,"N/A",32,32,0,47,47,0,25,25,0,0,0,0,18,50,310,0.1,140,20,7,1.3,"close","All parameters are changed randomly"
114167,380.56,114167,380.56,0,0,180523.6,601.75,180523.6,601.75,0,0,66356.6,221.19,66356.6,221.19,0,0,118812.05,81.27,22219.25,32.53,500655,1668.85,0.088,0.249,2.721,2.721,"N/A",34,34,0,27.6,0.02,0,0,0,46,46,0,1,1,0,24,24,0,22,22,0,52.17,52.17,"N/A",2481.89,8.48,2481.89,8.48,"N/A",7521.82,25.41,7521.82,25.41,"N/A",3016.21,10,3016.21,10,"N/A",2.494,2.494,"N/A",38507.8,124.46,38507.8,124.46,"N/A",7330.2,23.88,7330.2,23.88,"N/A",111,111,0,157,157,0,62,62,0,0,0,0,14,98,160,0.1,101,20,14,2.3,"close","All parameters are changed randomly"
46034.4,153.45,46034.4,153.45,0,0,105505.9,351.69,105505.9,351.69,0,0,59471.5,198.24,59471.5,198.24,0,0,48300.8,62.06,9734.15,21.96,483016.75,1610.06,0.055,0.111,1.774,1.774,"N/A",35,35,0,0,0,0,0,0,107,107,0,0,0,0,30,30,0,50,50,0,28.04,28.04,"N/A",430.23,1.39,430.23,1.39,"N/A",3516.86,11.55,3516.86,11.55,"N/A",1189.43,3.96,1189.43,3.96,"N/A",2.957,2.957,"N/A",12114,39.15,12114,39.15,"N/A",6111.3,20.42,6111.3,20.42,"N/A",22,22,0,39,39,0,23,23,0,0,0,0,46,58,190,0.05,57,55,5,2.2,"close","All parameters are changed randomly"
63731,212.44,63731,212.44,0,0,140042.6,466.81,140042.6,466.81,0,0,76311.6,254.37,76311.6,254.37,0,0,69727.2,72.43,19282.55,42.42,483016.75,1610.06,0.054,0.151,1.835,1.835,"N/A",34,34,0,-882.2,-0.94,0,0,0,71,71,0,1,1,0,35,35,0,34,34,0,49.3,49.3,"N/A",897.62,3.16,897.62,3.16,"N/A",4001.22,13.65,4001.22,13.65,"N/A",2244.46,7.44,2244.46,7.44,"N/A",1.783,1.783,"N/A",27838.2,102.98,27838.2,102.98,"N/A",6952.1,22.68,6952.1,22.68,"N/A",47,47,0,67,67,0,29,29,0,0,0,0,50,90,220,0.08,101,15,8,1.5,"close","All parameters are changed randomly"
107327.6,357.76,107327.6,357.76,0,0,170342.65,567.81,170342.65,567.81,0,0,63015.05,210.05,63015.05,210.05,0,0,113412.6,79.08,12182.5,23.79,500425.5,1668.09,0.094,0.292,2.703,2.703,"N/A",36,36,0,3668,2.67,0,0,0,64,64,0,1,1,0,29,29,0,35,35,0,45.31,45.31,"N/A",1676.99,5.65,1676.99,5.65,"N/A",5873.88,19.64,5873.88,19.64,"N/A",1800.43,5.95,1800.43,5.95,"N/A",3.262,3.262,"N/A",27259.6,88.1,27259.6,88.1,"N/A",4419.4,15.33,4419.4,15.33,"N/A",63,63,0,92,92,0,39,39,0,0,0,0,34,82,190,0.05,101,55,14,2.1,"close","All parameters are changed randomly"
128178.45,427.26,128178.45,427.26,0,0,179317.45,597.72,179317.45,597.72,0,0,51139,170.46,51139,170.46,0,0,139769.8,84.98,9431.1,25.98,447569.55,1491.9,0.1,0.349,3.506,3.506,"N/A",35,35,0,26.7,0.02,0,0,0,52,52,0,1,1,0,26,26,0,26,26,0,50,50,"N/A",2464.97,8.09,2464.97,8.09,"N/A",6896.83,22.7,6896.83,22.7,"N/A",1966.88,6.51,1966.88,6.51,"N/A",3.506,3.506,"N/A",22767.75,77.63,22767.75,77.63,"N/A",3265.4,11.47,3265.4,11.47,"N/A",97,97,0,151,151,0,42,42,0,0,0,0,14,66,280,0.09,68,45,6,3.6,"close","All parameters are changed randomly"
103047.1,343.49,103047.1,343.49,0,0,150216.5,500.72,150216.5,500.72,0,0,47169.4,157.23,47169.4,157.23,0,0,115271.3,83.89,12959.95,29.05,500425.5,1668.09,0.082,0.321,3.185,3.185,"N/A",35,35,0,1154,0.87,0,0,0,57,57,0,1,1,0,18,18,0,36,36,0,31.58,31.58,"N/A",1807.84,6.02,1807.84,6.02,"N/A",8345.36,27.74,8345.36,27.74,"N/A",1310.26,4.33,1310.26,4.33,"N/A",6.369,6.369,"N/A",24022.2,77.64,24022.2,77.64,"N/A",3602.4,11.74,3602.4,11.74,"N/A",86,86,0,165,165,0,53,53,0,0,0,0,22,66,160,0.04,35,45,11,3,"close","All parameters are changed randomly"
